Название;ССылка на прордукт;картинка;Цена;Характеристики
Кран шаровой VALTEC Base 1 НН, бабочка;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-rukoyatka-babochka-1-nar.html;https://tavago.ru/upload/resize_cache/iblock/ae0/240_240_1/ae064f1e6aa3d706e51c94c58bbdec8c.jpg;Цена:1 045 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.219.N.06;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;1;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;бабочка;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 4 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-4-vn-.html;https://tavago.ru/upload/resize_cache/iblock/ae1/240_240_1/ae1da6e8fd273c0a23cfcb4cfd66d2a8.jpg;Цена:15 469 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.214.N.12;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;4;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 2 1/2 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-2-12-.html;https://tavago.ru/upload/resize_cache/iblock/14b/240_240_1/14b9456c48cc08a35f40fb03d3573432.jpg;Цена:7 074 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.214.N.10;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;2 1/2;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 1/2 НН, бабочка;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-rukoyatka-babochka-12-na.html;https://tavago.ru/upload/resize_cache/iblock/d15/240_240_1/d1568e985331e40898a2868ab595723e.jpg;Цена:334 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.219.N.04;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;1/2;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;бабочка;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 1 ВВ, бабочка;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-rukoyatka-babochka-1-vn-.html;https://tavago.ru/upload/resize_cache/iblock/73f/240_240_1/73f736b5e78903f27e365a400484cf04.jpg;Цена:782 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.217.N.06;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;1;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;бабочка;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 2 ВН, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-2-vn-103852.html;https://tavago.ru/upload/resize_cache/iblock/577/240_240_1/577de1d39f011274cd0ff873fa37c975.jpg;Цена:3 327 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.215.N.09;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;2;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 1 1/2 ВН, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-1-12-.html;https://tavago.ru/upload/resize_cache/iblock/b12/240_240_1/b124f6642e1cb27eef58a76780dcebe6.jpg;Цена:2 252 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.215.N.08;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;1 1/2;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 1 1/4 ВН, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-1-14-.html;https://tavago.ru/upload/resize_cache/iblock/28a/240_240_1/28afc624a78ca74ea008bfb78c007de3.jpg;Цена:1 499 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.215.N.07;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;1 1/4;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 2 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-2-vn-.html;https://tavago.ru/upload/resize_cache/iblock/887/240_240_1/887bd1b0718624b5bfd6dd9e3ecf7666.jpg;Цена:2 702 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.214.N.09;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;2;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 1/2 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-12-vn.html;https://tavago.ru/upload/resize_cache/iblock/c49/240_240_1/c499849c9bb28badfa2f0d750e5eb802.jpg;Цена:308 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.214.N.04;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;1/2;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
